participant;q01_formal_structure;q02_lessons_learned;q03_solution_source;q04_knowledge_base;q05_expert_finder;q06_project_knowledge;q07_hidden_knowledge_exists;q08_knowledge_utilization;q09_hidden_knowledge_value;q10_fear_of_sharing;q11_share_with_colleagues;q12_share_with_management;q13_personality_similarity;q14_extrovert_self_assessment;q15_prior_personality_test;q16_personality_test_willingness;q17_profile_use_consent;q18_ai_helpfulness;q19_ai_internal_channel_analysis;q20_ai_public_profile_analysis;q21_ai_work_content_analysis;q22_gender;q23_age_group;q24_organization_size;q25_tenure;q26_education;q27_decision_level
17;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other publicly available knowledge sources;We don't have such a system;We don't have such a system;We don't have such a system;Yes;50% to 75%;Large;Mostly No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Male;50-60;More than 500;1-5 years;High;High
18;No;No;Other;We don't have such a system;We don't have such a system;We don't have such a system;Yes;Less than 25%;Medium;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Up to a certain level Yes;Yes;No;Yes;Male;40-50;More than 500;5-10 years;High;Medium
19;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet;Yes;Periodically;Periodically;Yes;50% to 75%;Medium;Mostly No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;With certain conditions Yes;Yes;Male;50-60;More than 500;5-10 years;High;High
20;To some level;No;Official internal collaboration channels (email, slack, teams, etc.);Periodically;We don't have such a system;We don't have such a system;Yes;25% to 50%;Medium;Mostly No;Yes;Yes;Yes;Yes;Yes;Yes;With certain conditions Yes;Up to a certain level Yes;With certain conditions Yes;With certain conditions Yes;Yes;Female;40-50;Less than 100;Less than 1 year;High;Medium
21;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Other publicly available knowledge sources;Yes;Periodically;Yes;Yes;50% to 75%;Medium;Mostly No;Yes;Yes;It doesn't matter to me;No;Yes;Yes;With certain conditions Yes;Up to a certain level Yes;With certain conditions Yes;No;Yes;Male;40-50;100-500;1-5 years;High;Medium
22;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet;Periodically;Yes;Yes;Yes;More than 75%;Medium;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Male;20-30;More than 500;Less than 1 year;Upper;Low
23;To some level;No;Official internal collaboration channels (email, slack, teams, etc.);Yes;We don't have such a system;Periodically;Yes;25% to 50%;Large;Mostly No;Yes;Yes;Yes;No;No;Yes;No;Up to a certain level Yes;With certain conditions Yes;No;Yes;Male;50-60;Less than 100;5-10 years;High;High
24;To some level;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet;Yes;Yes;Yes;Yes;More than 75%;Medium;No;Yes;Yes;It doesn't matter to me;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Female;30-40;Less than 100;More than 10 years;High;High
25;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Other publicly available knowledge sources, Other;Periodically;Periodically;We don't have such a system;Yes;Less than 25%;Large;Mostly Yes;Yes;Yes;It doesn't matter to me;Yes;Yes;Yes;Yes;Up to a certain level Yes;With certain conditions Yes;With certain conditions Yes;With certain conditions Yes;Female;30-40;More than 500;More than 10 years;High;Medium
26;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other publicly available knowledge sources;Periodically;No;No;Yes;25% to 50%;Large;Mostly No;Yes;Yes;It doesn't matter to me;No;No;Yes;Yes;Yes;With certain conditions Yes;With certain conditions Yes;With certain conditions Yes;Male;40-50;Less than 100;1-5 years;High;Low
27;To some level;No;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other publicly available knowledge sources, Other;No;We don't have such a system;We don't have such a system;Yes;25% to 50%;Medium;Mostly No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Male;30-40;More than 500;More than 10 years;High;Medium
28;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.);Yes;Yes;Yes;Yes;50% to 75%;Very large;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Male;50-60;More than 500;1-5 years;High;Medium
29;To some level;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system;Periodically;We don't have such a system;We don't have such a system;Yes;Less than 25%;Large;Mostly Yes;With certain compensation Yes;Yes;Yes;Yes;Yes;Yes;Yes;Up to a certain level Yes;No;No;Yes;Male;30-40;100-500;1-5 years;Middle;Low
30;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet;Yes;Periodically;No;Yes;50% to 75%;Large;No;Yes;Yes;It doesn't matter to me;Yes;No;Yes;Yes;Up to a certain level Yes;Yes;Yes;Yes;Male;30-40;More than 500;1-5 years;High;Medium
31;To some level;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet;Periodically;Yes;No;Yes;50% to 75%;Large;Mostly No;Yes;Yes;Yes;No;No;Yes;With certain conditions Yes;Up to a certain level Yes;No;With certain conditions Yes;With certain conditions Yes;Male;40-50;More than 500;1-5 years;High;High
32;No;No;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet;We don't have such a system;We don't have such a system;We don't have such a system;Yes;50% to 75%;Medium;No;Yes;Yes;Yes;No;No;No;With certain conditions Yes;Yes;With certain conditions Yes;No;With certain conditions Yes;Male;30-40;Less than 100;5-10 years;High;High
33;Yes;Yes;Publicly available sources on the Internet;We don't have such a system;We don't have such a system;We don't have such a system;No;50% to 75%;Medium;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Up to a certain level Yes;With certain conditions Yes;With certain conditions Yes;With certain conditions Yes;Male;50-60;Less than 100;1-5 years;High;High
34;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Other publicly available knowledge sources;We don't have such a system;We don't have such a system;We don't have such a system;Yes;Less than 25%;Medium;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;No;Female;30-40;100-500;1-5 years;High;Low
35;Yes;Periodically;Other publicly available knowledge sources, Other;We don't have such a system;Periodically;Periodically;Yes;25% to 50%;Large;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Female;50-60;100-500;5-10 years;High;High
36;Yes;No;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other;We don't have such a system;We don't have such a system;We don't have such a system;Yes;Less than 25%;Very large;Mostly Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Up to a certain level Yes;No;No;With certain conditions Yes;Female;40-50;100-500;1-5 years;High;Medium
37;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other publicly available knowledge sources, Other;We don't have such a system;We don't have such a system;We don't have such a system;Yes;25% to 50%;Large;No;Yes;Yes;Yes;Yes;No;Yes;With certain conditions Yes;Up to a certain level Yes;Yes;Yes;Yes;Female;40-50;100-500;1-5 years;Middle;Medium
38;To some level;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Public social networks, Other publicly available knowledge sources, Other;Periodically;Periodically;Periodically;Yes;50% to 75%;Very large;Mostly Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Up to a certain level Yes;With certain conditions Yes;No;Yes;Female;40-50;100-500;5-10 years;High;High
39;Yes;Yes;Other;Yes;Yes;Yes;Yes;50% to 75%;Medium;No;Yes;With certain compensation Yes;It doesn't matter to me;Yes;No;Yes;Yes;Yes;Yes;Yes;With certain conditions Yes;Female;30-40;100-500;Less than 1 year;High;Medium
40;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.);Periodically;Yes;Yes;Yes;25% to 50%;Large;Mostly Yes;Yes;Yes;It doesn't matter to me;Yes;No;With certain conditions Yes;With certain conditions Yes;Up to a certain level Yes;With certain conditions Yes;No;With certain conditions Yes;Female;30-40;100-500;1-5 years;High;Medium
41;To some level;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet;Periodically;Periodically;Periodically;Yes;25% to 50%;Large;Mostly No;Yes;Yes;Yes;Yes;Yes;Yes;With certain conditions Yes;Up to a certain level Yes;With certain conditions Yes;No;Yes;Female;30-40;100-500;5-10 years;High;Medium
42;To some level;Periodically;Publicly available sources on the Internet, Other;Periodically;Periodically;We don't have such a system;Yes;25% to 50%;Large;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes;Female;30-40;100-500;1-5 years;Upper;Medium
43;To some level;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other;We don't have such a system;We don't have such a system;We don't have such a system;Yes;Less than 25%;Medium;Mostly No;Yes;Yes;Yes;No;Yes;With certain conditions Yes;With certain conditions Yes;Up to a certain level Yes;No;No;No;Female;30-40;100-500;5-10 years;High;Low
44;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet;We don't have such a system;We don't have such a system;We don't have such a system;Yes;25% to 50%;Large;Mostly No;Yes;Yes;Yes;No;Yes;Yes;Yes;Up to a certain level Yes;No;With certain conditions Yes;With certain conditions Yes;Female;30-40;100-500;5-10 years;High;Medium
45;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet;Periodically;No;No;Yes;50% to 75%;Medium;Mostly No;Yes;Yes;It doesn't matter to me;No;No;With certain conditions Yes;With certain conditions Yes;Up to a certain level Yes;No;No;Yes;Male;30-40;100-500;Less than 1 year;High;Low
46;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.);Periodically;Periodically;Yes;Yes;25% to 50%;Large;Mostly Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;With certain conditions Yes;No;With certain conditions Yes;Female;20-30;100-500;1-5 years;High;Medium
47;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.);Periodically;We don't have such a system;We don't have such a system;Yes;Less than 25%;Large;Yes;Yes;Yes;Yes;No;Yes;With certain conditions Yes;With certain conditions Yes;Up to a certain level Yes;With certain conditions Yes;With certain conditions Yes;With certain conditions Yes;Female;30-40;100-500;1-5 years;High;Low
48;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Other;Periodically;We don't have such a system;Periodically;Yes;25% to 50%;Medium;Mostly No;Yes;With certain compensation Yes;Yes;No;No;With certain conditions Yes;No;Up to a certain level Yes;No;No;With certain conditions Yes;Male;40-50;More than 500;1-5 years;High;Medium
49;Yes;No;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other publicly available knowledge sources;Periodically;Periodically;No;Yes;More than 75%;Large;Mostly Yes;Yes;Yes;Yes;No;Yes;Yes;With certain conditions Yes;Yes;With certain conditions Yes;No;With certain conditions Yes;Female;20-30;100-500;1-5 years;High;Low
50;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system;Periodically;Periodically;Yes;Yes;50% to 75%;Large;Mostly No;Yes;Yes;Yes;No;No;Yes;With certain conditions Yes;Yes;With certain conditions Yes;No;Yes;Female;40-50;100-500;1-5 years;High;Medium
51;Yes;Periodically;Publicly available sources on the Internet, Other publicly available knowledge sources, Other;We don't have such a system;We don't have such a system;We don't have such a system;Yes;Less than 25%;Large;Mostly Yes;Yes;Yes;It doesn't matter to me;Yes;No;Yes;With certain conditions Yes;Yes;No;No;With certain conditions Yes;Female;40-50;100-500;1-5 years;High;Medium
52;To some level;No;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other publicly available knowledge sources;We don't have such a system;We don't have such a system;We don't have such a system;Yes;25% to 50%;Large;Mostly No;Yes;Yes;It doesn't matter to me;No;No;No;No;Up to a certain level Yes;With certain conditions Yes;Yes;Yes;Other;40-50;100-500;More than 10 years;High;Medium
53;Yes;Periodically;Publicly available sources on the Internet, Other publicly available knowledge sources;We don't have such a system;We don't have such a system;We don't have such a system;Yes;Less than 25%;Very large;Mostly No;Yes;Yes;It doesn't matter to me;Yes;Yes;Yes;Yes;Up to a certain level Yes;With certain conditions Yes;Yes;Yes;Female;40-50;100-500;More than 10 years;High;Medium
54;To some level;Periodically;Publicly available sources on the Internet;We don't have such a system;We don't have such a system;We don't have such a system;Yes;Less than 25%;Very large;Mostly No;Yes;Yes;It doesn't matter to me;No;Yes;With certain conditions Yes;With certain conditions Yes;Up to a certain level Yes;With certain conditions Yes;With certain conditions Yes;With certain conditions Yes;Female;40-50;100-500;5-10 years;High;High
55;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system;Yes;Periodically;We don't have such a system;Yes;Less than 25%;Large;Mostly Yes;Yes;Yes;Yes;No;Yes;Yes;With certain conditions Yes;Yes;With certain conditions Yes;No;No;Female;20-30;100-500;Less than 1 year;High;Medium
56;To some level;Periodically;Internal knowledge base system, Publicly available sources on the Internet;Yes;Yes;Periodically;Yes;25% to 50%;Very large;Mostly No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Female;20-30;100-500;Less than 1 year;High;Medium
57;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.);Yes;Periodically;No;No;50% to 75%;Large;No;Yes;Yes;Yes;No;Yes;Yes;With certain conditions Yes;Up to a certain level Yes;Yes;No;Yes;Male;40-50;100-500;5-10 years;High;Medium
58;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.);Periodically;We don't have such a system;Periodically;Yes;25% to 50%;Very large;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Female;50-60;100-500;More than 10 years;High;Medium
59;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Other;Periodically;No;No;Yes;25% to 50%;Medium;Mostly No;Yes;Yes;Yes;Yes;Yes;Yes;With certain conditions Yes;Yes;No;No;With certain conditions Yes;Female;40-50;100-500;1-5 years;Middle;Low
60;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other publicly available knowledge sources;No;No;No;Yes;50% to 75%;Medium;Mostly No;Yes;With certain compensation Yes;It doesn't matter to me;No;Yes;With certain conditions Yes;With certain conditions Yes;Yes;With certain conditions Yes;With certain conditions Yes;With certain conditions Yes;Male;50-60;100-500;5-10 years;High;Low
61;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Other publicly available knowledge sources;Yes;No;Yes;Yes;25% to 50%;Medium;Mostly No;Yes;Yes;Yes;Yes;Yes;Yes;With certain conditions Yes;Up to a certain level Yes;With certain conditions Yes;No;With certain conditions Yes;Male;40-50;100-500;1-5 years;High;Medium
62;To some level;Periodically;Publicly available sources on the Internet, Other publicly available knowledge sources;We don't have such a system;Periodically;Periodically;Yes;Less than 25%;Very large;Mostly No;Yes;Yes;Yes;Yes;No;Yes;Yes;No;No;No;Yes;Female;40-50;100-500;5-10 years;High;High
63;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet;Periodically;No;No;Yes;25% to 50%;Medium;Mostly Yes;Yes;Yes;Yes;No;No;Yes;Yes;Up to a certain level Yes;No;No;No;Female;40-50;100-500;More than 10 years;Upper;Low
64;To some level;No;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet;We don't have such a system;We don't have such a system;No;Yes;50% to 75%;Medium;Mostly Yes;Yes;Yes;Yes;I don't want to declare;No;Yes;With certain conditions Yes;Yes;With certain conditions Yes;No;With certain conditions Yes;Male;40-50;100-500;1-5 years;High;Low
65;Yes;No;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system;Yes;No;Yes;Yes;25% to 50%;Low;Mostly No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;Yes;Male;30-40;Less than 100;1-5 years;High;Medium
66;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet;Periodically;Periodically;Periodically;Yes;50% to 75%;Large;No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Female;40-50;100-500;5-10 years;High;Medium
67;No;No;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet;No;No;No;Yes;25% to 50%;Very large;No;Yes;Yes;Yes;No;No;No;With certain conditions Yes;Yes;No;No;Yes;Male;30-40;Less than 100;1-5 years;High;High
68;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other publicly available knowledge sources;Yes;Periodically;Periodically;Yes;50% to 75%;Large;Mostly No;Yes;Yes;Yes;Yes;Yes;Yes;With certain conditions Yes;Yes;No;No;With certain conditions Yes;Female;30-40;100-500;5-10 years;Upper;Medium
69;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.);No;No;No;Yes;50% to 75%;Very large;Mostly No;Yes;Yes;Yes;Yes;No;Yes;With certain conditions Yes;Up to a certain level Yes;With certain conditions Yes;No;Yes;Male;40-50;100-500;5-10 years;High;Medium
70;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other publicly available knowledge sources;Yes;Yes;Yes;Yes;50% to 75%;Medium;Mostly No;Yes;Yes;Yes;Yes;Yes;With certain conditions Yes;No;Up to a certain level Yes;No;No;With certain conditions Yes;Male;30-40;100-500;1-5 years;Upper;Medium
71;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet;We don't have such a system;We don't have such a system;We don't have such a system;Yes;50% to 75%;Medium;No;Yes;Yes;Yes;No;No;Yes;With certain conditions Yes;Up to a certain level Yes;With certain conditions Yes;No;With certain conditions Yes;Female;30-40;100-500;1-5 years;High;Low
72;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.);Yes;Yes;Yes;Yes;Less than 25%;Medium;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Male;40-50;100-500;1-5 years;High;High
73;To some level;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Other publicly available knowledge sources;Yes;We don't have such a system;We don't have such a system;Yes;Less than 25%;Large;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Male;40-50;100-500;5-10 years;High;Medium
74;Yes;No;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Public social networks, Other publicly available knowledge sources;No;We don't have such a system;We don't have such a system;Yes;50% to 75%;Very large;Mostly No;Yes;Yes;It doesn't matter to me;Yes;Yes;Yes;Yes;Yes;With certain conditions Yes;No;Yes;Male;40-50;More than 500;More than 10 years;High;Medium
75;To some level;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other publicly available knowledge sources;No;No;No;Yes;Less than 25%;Large;Mostly No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;With certain conditions Yes;With certain conditions Yes;With certain conditions Yes;Female;40-50;100-500;1-5 years;High;High
76;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Other publicly available knowledge sources;Yes;Yes;Periodically;Yes;50% to 75%;Large;Mostly Yes;Yes;Yes;It doesn't matter to me;I don't want to declare;No;Yes;With certain conditions Yes;Up to a certain level Yes;With certain conditions Yes;No;With certain conditions Yes;Female;30-40;100-500;1-5 years;High;Low
77;To some level;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet;We don't have such a system;We don't have such a system;We don't have such a system;Yes;25% to 50%;Medium;No;Yes;No;Yes;No;Yes;No;No;Up to a certain level Yes;Yes;Yes;Yes;Female;30-40;100-500;5-10 years;Middle;Medium
78;Yes;No;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Other publicly available knowledge sources;We don't have such a system;We don't have such a system;We don't have such a system;Yes;Less than 25%;Very large;Mostly No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;With certain conditions Yes;No;Yes;Female;20-30;100-500;1-5 years;High;Low
79;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Other publicly available knowledge sources;Periodically;We don't have such a system;We don't have such a system;Yes;25% to 50%;Very large;Mostly Yes;With certain compensation Yes;With certain compensation Yes;Yes;Yes;Yes;Yes;With certain conditions Yes;Up to a certain level Yes;No;No;No;Female;40-50;100-500;5-10 years;High;Medium
80;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Public social networks, Other publicly available knowledge sources;Periodically;Periodically;Periodically;Yes;50% to 75%;Large;No;With certain compensation Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Female;30-40;100-500;1-5 years;High;Medium
81;Yes;Periodically;Internal knowledge base system;Yes;Periodically;Periodically;Yes;More than 75%;Low;No;Yes;Yes;It doesn't matter to me;I don't want to declare;Yes;Yes;With certain conditions Yes;Yes;With certain conditions Yes;No;With certain conditions Yes;Female;20-30;100-500;1-5 years;High;Medium
82;To some level;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet;We don't have such a system;We don't have such a system;We don't have such a system;Yes;25% to 50%;Large;Mostly No;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Male;30-40;100-500;More than 10 years;High;Medium
83;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet;We don't have such a system;We don't have such a system;We don't have such a system;Yes;50% to 75%;Very large;Mostly No;Yes;Yes;Yes;I don't want to declare;No;Yes;With certain conditions Yes;Up to a certain level Yes;With certain conditions Yes;No;With certain conditions Yes;Female;30-40;100-500;Less than 1 year;High;Medium
